Name	Location	Year	Kilometers_Driven	Owner_Type	Mileage (kmpl)	Engine (cc)	Power (bhp)	Seats	Price	Fuel_Type_Diesel	Fuel_Type_Petrol	Transmission_Automatic	Transmission_Manual	Car_Age
Jaguar XJ 5.0 L V8 Supercharged	Coimbatore	2011	43686	First	10.5	5000.0	503.0	4.0	50.66	0	1	1	0	14
Mercedes-Benz GLC 220d Celebration Edition	Kochi	2017	26192	First	17.9	2143.0	168.0	5.0	40.47	1	0	1	0	8
Mercedes-Benz GLE 250d	Hyderabad	2016	50000	First	17.9	2143.0	201.15	5.0	49.0	1	0	1	0	9
Mercedes-Benz GLE 350d	Bangalore	2016	28541	First	11.57	2987.0	254.79	5.0	60.75	1	0	1	0	9
Audi Q7 3.0 TDI Quattro Premium Plus	Bangalore	2014	45000	Second	12.07	2967.0	241.4	7.0	37.9	1	0	1	0	11
Audi Q7 3.0 TDI Quattro Premium Plus	Coimbatore	2016	31075	Second	12.07	2967.0	241.4	7.0	49.79	1	0	1	0	9
Audi A6 35 TDI Matrix	Chennai	2015	20000	First	18.53	1968.0	187.74	5.0	35.5	1	0	1	0	10
Porsche Cayenne S Diesel	Coimbatore	2016	65003	First	13.6	4134.0	382.0	5.0	67.83	1	0	1	0	9
Land Rover Range Rover 2.2L Prestige	Delhi	2015	37000	First	12.7	2179.0	187.7	5.0	36.0	1	0	1	0	10
Land Rover Range Rover Vogue SE 4.4 SDV8	Coimbatore	2013	75995	Second	11.49	4367.0	335.3	5.0	65.81	1	0	1	0	12
Land Rover Range Rover HSE Dynamic	Kochi	2018	52827	First	12.7	2179.0	187.7	5.0	44.76	1	0	1	0	7
Porsche Cayenne 2009-2014 Diesel	Kochi	2015	47877	First	15.15	2967.0	240.0	5.0	48.22	1	0	1	0	10
BMW X3 xDrive 20d Luxury Line	Mumbai	2018	1400	First	18.56	1995.0	190.0	5.0	61.25	1	0	1	0	7
Bentley Continental Flying Spur	Hyderabad	2006	48000	First	8.6	5998.0	552.0	4.0	59.0	0	1	1	0	19
BMW X6 xDrive 40d M Sport	Ahmedabad	2015	97003	First	15.87	2993.0	308.43	5.0	85.0	1	0	1	0	10
Land Rover Range Rover Sport SE	Delhi	2014	47000	Second	12.65	2993.0	255.0	5.0	64.75	1	0	1	0	11
BMW 3 Series Luxury Line	Coimbatore	2017	34232	First	21.76	1995.0	190.0	5.0	35.84	1	0	1	0	8
Porsche Panamera 2010 2013 Diesel	Delhi	2013	36400	First	7.5	4806.0	394.3	4.0	72.0	1	0	1	0	12
BMW 5 Series 520d Sport Line	Delhi	2017	16485	First	22.48	1995.0	187.74	5.0	42.75	1	0	1	0	8
Mercedes-Benz CLA 200 D Sport Edition	Coimbatore	2019	15976	First	17.9	2143.0	136.0	5.0	36.76	1	0	1	0	6
BMW 7 Series 730Ld	Chennai	2013	38000	First	16.46	2993.0	258.0	5.0	45.0	1	0	1	0	12
BMW X5 xDrive 30d M Sport	Chennai	2017	21000	Second	15.97	2993.0	258.0	5.0	55.0	1	0	1	0	8
Mercedes-Benz E-Class 2015-2017 E250 Edition E	Coimbatore	2018	41467	First	15.0	2143.0	204.0	5.0	37.98	1	0	1	0	7
Audi Q7 3.0 TDI Quattro Premium Plus	Coimbatore	2015	55662	First	12.07	2967.0	241.4	7.0	42.83	1	0	1	0	10
BMW 6 Series Gran Coupe	Mumbai	2013	30000	First	17.54	2993.0	313.0	4.0	45.0	1	0	1	0	12
Lamborghini Gallardo Coupe	Delhi	2011	6500	Third	6.4	5204.0	560.0	2.0	120.0	0	1	1	0	14
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde	Coimbatore	2016	41082	First	13.0	2143.0	204.0	5.0	38.76	1	0	1	0	9
Mercedes-Benz GL-Class 350 CDI Blue Efficiency	Chennai	2013	100000	Second	11.3	2987.0	254.8	7.0	38.0	1	0	1	0	12
Audi A6 2011-2015 35 TDI Technology	Coimbatore	2017	55975	Second	17.68	1968.0	174.33	5.0	35.92	1	0	1	0	8
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury	Mumbai	2015	48600	First	12.0	2987.0	224.0	7.0	48.5	1	0	1	0	10
Mercedes-Benz GLC 220	Coimbatore	2017	50794	First	17.9	2143.0	170.0	5.0	43.3	1	0	1	0	8
Jaguar F Type 5.0 V8 S	Hyderabad	2015	8000	First	12.5	5000.0	488.1	2.0	100.0	0	1	1	0	10
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde	Mumbai	2016	21000	First	13.0	2143.0	204.0	5.0	36.0	1	0	1	0	9
Audi Q5 3.0 TDI Quattro Technology	Coimbatore	2018	29091	First	13.22	2967.0	241.4	5.0	45.52	1	0	1	0	7
BMW 5 Series 2013-2017 530d M Sport	Bangalore	2016	16000	First	14.69	2993.0	258.0	5.0	48.0	1	0	1	0	9
Porsche Panamera Diesel	Hyderabad	2013	40000	Second	17.85	2967.0	300.0	4.0	45.0	1	0	1	0	12
